ID_REF	IDENTIFIER	GSM88918	GSM88914	GSM88919	GSM88915	GSM88917	GSM88913	GSM88916	GSM88912
b2392_at	mntH	4524.7	2389.3	2718.7	1907.3	1265.3	955.6	567.3	783.9
IG_1640_2635416_2635493_rev_at	/start=2635416 /end=2635493 /direction=+ /description=intergenic region	3041.4	2062.3	2712.2	1755.5	1279.3	922.6	580.4	824.6
IG_308_475786_475895_fwd_at	/start=475786 /end=475895 /direction=+ /description=intergenic region	961.5	471.2	704	458.6	260.3	223.6	85.3	237.3
IG_491_776831_776962_fwd_at	/start=776831 /end=776962 /direction=+ /description=intergenic region	853.6	605.6	750.2	602.1	439.6	479.8	342.9	445.2
b2447_at	yffP	607.6	483.1	685.4	531.1	317.4	291.2	237.6	186.8
IG_2629_4257026_4257899_fwd_at	/start=4257026 /end=4257899 /direction=+ /description=intergenic region	660.9	655.9	873.3	622.2	395	371.2	319.8	325.1
IG_1117_1756750_1756897_rev_at	/start=1756750 /end=1756897 /direction=+ /description=intergenic region	6547.4	6397.7	9903.9	6810	3746.6	2395.3	2652.4	2080.6
IG_2325_3771822_3772050_fwd_at	/start=3771822 /end=3772050 /direction=+ /description=intergenic region	nan	174.6	192.1	199.7	96.5	nan	73	82.6
IG_2678_4343137_4343257_rev_at	/start=4343137 /end=4343257 /direction=+ /description=intergenic region	nan	nan	nan	283	nan	176.2	nan	nan
b1481_at	c1914	530.4	911.3	957.1	827.7	nan	154.5	226.5	258.3
yhcO_b3239_at	yhcO	1282.6	1159.5	1039.5	805.4	713.8	479.8	363.6	472.4
IG_2023_3248595_3248663_fwd_at	/start=3248595 /end=3248663 /direction=+ /description=intergenic region	2905.9	2173.8	1722.9	1176.3	1262.9	626.2	393	532.9
cmk_b0910_at	cmk	3052.2	2421.6	2440.1	1895.2	1680.2	998.9	948.1	1131.3
b1490_at	Z2219	1331.1	867.6	488.2	511.9	345	163.3	171	211.7
ycfH_b1100_at	ycfH	2482.9	2244.1	1960.6	1733.5	1492.7	961.4	1019.4	860.1
phnO_b4093_at	phnO	1054.3	1092.2	867.2	787.9	607.9	455.9	429.4	350.1
yqhE_b3012_at	dkgA	5830.1	4642.6	3693.6	3110.2	3408.2	1993.7	1953.9	1693.5
yfcG_b2302_at	yfcG	1341.3	983	869.6	850.7	622.5	487.6	495.7	407.8
b1647_at	ydhF	2046.2	1887.5	1779.7	1444.2	1278.8	883.8	1078.1	848.7
IG_2830_4560245_4560311_rev_at	/start=4560245 /end=4560311 /direction=+ /description=intergenic region	nan	nan	96.1	98.2	nan	nan	nan	30.1
yagA_b0267_at	yagA	nan	697.2	nan	643.5	472.5	494.6	nan	nan
yjiD_b4326_at	iraD	1104.8	1262.5	503.8	521.2	nan	103.7	119.9	156.2
dsrB_b1952_at	dsrB	1596.7	1784.9	1814.9	1490.3	892.8	719.5	599.8	560.3
sodC_b1646_at	sodC	8317.8	8534.9	8917.1	6823.5	3777.4	3087.7	2149.9	2156
yjbJ_b4045_at	yjbJ	34549.7	38218.7	28967.6	20617.1	14712.6	9392.1	5246	6859.6
ybaA_b0456_at	ybaA	3224.4	2211.3	2633.8	1917.2	1044.4	549.1	342.9	533.9
yjfY_b4199_at	yjfY	960.7	1065.2	1097.8	1018.4	630.5	502.3	418.1	319.6
kdpC_b0696_at	kdpC	1085.8	1099.7	1050.4	1182.8	757.4	643.5	528.4	494.8
ybiM_b0806_at	ybiM	2376	2017.1	1843.7	1661.7	859.8	314.7	428.9	266.7
b1729_at	Z2758	836.1	915.2	637.8	543.6	432.5	345.2	251.9	214.6
ykfB_b0250_at	ykfB	1173.2	1242.9	935.7	882.3	630.4	550.9	350.2	317.9
focA_b0904_at	focA_2	10331.8	8701.6	9013.8	6953.6	5783.4	4749.5	2986.6	3061.5
ynhG_b1678_at	ynhG	4396.9	3849.3	4023.8	3444.7	2570.5	2054.6	1334.1	1380.2
kdpD_b0695_at	kdpD	1531	1334.9	1406.6	1110.4	979.6	765.1	664.3	493.2
apaG_b0050_at	apaG	3227.2	3781.3	2765.5	1858.6	2033.4	1291.7	840.7	1084.3
IG_2628_4256701_4256815_fwd_at	/start=4256701 /end=4256815 /direction=+ /description=intergenic region	9227.2	16356.7	10069.9	3022.9	4660	2203.7	973.8	1410.8
dps_b0812_at	dps	51763.7	73983.6	42914.2	31351.8	40968	23476.8	17994.9	19498.7
IG_1959_3154533_3154753_fwd_at	dkgA	9230.2	12187.3	10468.2	5102.1	6617	4762.5	2698	2340.7
mutY_b2961_at	mutY	754.6	871.5	826.8	667.6	629.4	582.2	443.3	446.6
yabF_b0046_at	yabF	246.4	276.7	304.1	250.7	213.8	178.9	163.9	166.3
IG_1047_1655895_1656092_fwd_at	/start=1655895 /end=1656092 /direction=+ /description=intergenic region	199.2	142.8	222.4	162.1	66.5	69.6	92.7	94.1
IG_570_892657_893006_fwd_at	/start=892657 /end=893006 /direction=+ /description=intergenic region	194.9	181.5	222.2	186.8	90.7	101.3	95.4	108.6
ygbF_b2754_at	ygbF	372.5	302	360.9	406	209.6	229.4	221.6	248.7
IG_1449_2304775_2304991_rev_at	/start=2304775 /end=2304991 /direction=+ /description=intergenic region	534.7	353.7	351.7	430.2	174.9	173	150.3	174
IG_500_784047_784159_rev_at	/start=784047 /end=784159 /direction=+ /description=intergenic region	253.8	146.1	154.4	112.3	49.6	53.3	34.6	60.1
IG_1312_2037392_2037499_fwd_at	/start=2037392 /end=2037499 /direction=+ /description=intergenic region	408.7	270.3	332.7	352.3	189	209.6	170	149.8
IG_1518_2435872_2436961_rev_at	/start=2435872 /end=2436961 /direction=+ /description=intergenic region	617.2	388.8	507.7	589.1	224.4	254.7	207.4	200.5
b1297_at	Z2491	2405.5	2014	922.1	988.7	233.2	324.6	317	201.9
IG_2285_3705335_3706244_rev_at	/start=3705335 /end=3706244 /direction=+ /description=intergenic region	304.9	303.4	242.8	271.3	151.3	140.9	146.9	139.3
IG_858_1363537_1363573_fwd_at	/start=1363537 /end=1363573 /direction=+ /description=intergenic region	622.6	402.4	325.5	403.5	156.5	186.6	150.2	115.4
yicC_b3644_at	yicC	878.3	931	804.5	928.8	609.9	614.4	622.3	574
yidB_b3698_at	yidB	1133.5	1185.7	842.1	880.8	572.8	524.8	584.2	511.9
IG_1954_3148562_3148736_fwd_f_at	/start=3148562 /end=3148736 /direction=+ /description=intergenic region	775.9	707.8	556.9	619.2	330.4	434.7	407.1	393.6
dnaQ_b0215_at	dnaQ	nan	759.5	659.2	687.1	397.7	nan	435.3	373
IG_2344_3805726_3807969_rev_at	/start=3805726 /end=3807969 /direction=+ /description=intergenic region	nan	nan	nan	122	nan	73.2	nan	nan
IG_1971_3171128_3171157_fwd_at	/start=3171128 /end=3171157 /direction=+ /description=intergenic region	4419.5	3613.6	3627.2	3568.8	1693.7	1665.2	1828.4	1531.1
IG_368_567228_567332_fwd_f_at	renD	nan	nan	nan	863.3	nan	482	nan	nan
phnB_b4107_at	phnB	3823	3200.9	4451.7	3617.5	1654.6	774.8	520.3	902.9
ycjL_b1298_at	puuD	2330.1	1561.2	748.3	689.7	243	266.7	330.4	166.4
ycjC_b1299_at	ycjC	1076.7	677.8	510.9	528.1	263.9	244.6	233.6	308.4
ybiH_b0796_at	ybiH	432.3	411.1	nan	310.7	248.3	232.5	197.2	295.3
yacE_b0103_at	coaE	994.8	954.1	812.4	658.6	572	450.4	470.1	691.7
yeaB_b1813_at	yeaB	753.6	760	740.9	580	535.4	483.7	428.6	605.9
IG_314_484844_489333_rev_at	/start=484844 /end=489333 /direction=+ /description=intergenic region	428.7	402.9	346.3	399.8	298.9	228.7	226.3	287.1
yidH_b3676_at	yidH	652.1	477.9	361.8	397.3	352.2	223.3	208.3	334
ksgA_b0051_at	ksgA	2695.9	2800.3	1762.2	1553.8	1625.6	1156.4	902.7	1315.6
ygaU_b2665_at	ygaU	11153.3	8738.1	5676.9	4210.8	5322.2	3106.4	2466.6	3009.1
ompX_b0814_at	ompX	10806.3	11006.5	7234.6	4425.4	5314.8	2586.6	2616.7	3375.6
b1837_at	yebW	1843.9	1446.7	1261.7	1115	1025.3	924.2	647.3	957.1
IG_1808_2905964_2906050_rev_at	/start=2905964 /end=2906050 /direction=+ /description=intergenic region	4164.5	3405.7	2896	2143.1	3180.4	1905.6	1435	1849.9
IG_1895_3053962_3054002_fwd_at	/start=3053962 /end=3054002 /direction=+ /description=intergenic region	2702.9	3140.5	2295.9	1562.4	3075.9	1196.1	926.6	1380.2
nhaA_b0019_at	nhaA	3561.7	2714.9	3198.9	1975.6	2524.8	1337	941	1799.8
yciC_b1255_at	yciC	1127.9	942.5	1001.7	776.5	858	602.7	453.9	678.5
IG_2408_3905995_3906176_rev_at	/start=3905995 /end=3906176 /direction=+ /description=intergenic region	457.7	318.9	267.7	311.8	274.6	235.6	176.6	202.7
ydeD_b1533_at	ydeD	775.3	562.7	519	550.1	500.2	464.2	365.6	440.4
IG_1351_2096360_2096468_rev_at	/start=2096360 /end=2096468 /direction=+ /description=intergenic region	nan	79.9	33.1	42	nan	21.7	21.3	nan
IG_2740_4430644_4430741_rev_at	/start=4430644 /end=4430741 /direction=+ /description=intergenic region	342.6	398.3	200.8	263.4	127	145.5	147.2	210.8
ybaX_b0444_at	ybaX	482.9	nan	496	522.7	480.4	297.8	318.1	352.5
kdtA_b3633_at	kdtA	1509.6	1437.9	1008.4	1088	452.8	644.6	605	724.1
ybdR_b0608_at	ybdR	1553.7	1122.1	457.4	431.7	nan	170.1	227.2	385.7
b2353_at	tfaS	477.5	772.1	693.8	481.2	394.6	367.2	261.2	238.8
mutS_b2733_at	mutS	428.7	593.5	659	508.2	369.4	356.3	322.7	240.7
yeaO_b1792_at	yeaO	831	1177.8	1011.6	769.1	617.8	604.9	541.7	510.9
IG_2742_4432072_4434332_fwd_at	/start=4432072 /end=4434332 /direction=+ /description=intergenic region	1083.2	1198.4	1470.3	1144.5	643.2	985.8	789.3	520.9
IG_2734_4424136_4425346_fwd_at	/start=4424136 /end=4425346 /direction=+ /description=intergenic region	183.2	211.1	245.2	232.1	95.6	157.2	127	86.7
IG_233_366735_366810_rev_at	/start=366735 /end=366810 /direction=+ /description=intergenic region	820	1112.7	nan	740.4	nan	nan	419.2	232.2
IG_2415_3920081_3920684_rev_at	/start=3920081 /end=3920684 /direction=+ /description=intergenic region	nan	nan	nan	81.9	nan	63.2	nan	nan
IG_1632_2624677_2627309_fwd_at	/start=2624677 /end=2627309 /direction=+ /description=intergenic region	265.6	262.3	317.9	239.8	142.9	196.4	127.1	87.9
IG_1906_3067828_3068184_rev_at	/start=3067828 /end=3068184 /direction=+ /description=intergenic region	231.2	285.1	344.2	251.7	156	184.9	128.2	103.4
hslJ_b1379_at	hslJ	686.5	563	653.6	644.1	556.7	484.1	500.9	385.6
IG_2271_3670944_3670991_fwd_at	/start=3670944 /end=3670991 /direction=+ /description=intergenic region	1375.6	1079.7	1308.2	1280.9	1003.7	918.7	1057.9	608
gltX_b2400_at	gltX	816.3	630.9	nan	683.5	746.7	591.2	672.1	341.1
b0380_at	yaiZ	nan	nan	452.5	438.8	345.4	201.7	327	192
ybcL_b0545_at	ybcL	290.9	173.1	269.4	273.9	nan	133.5	nan	113.9
IG_1813_2913023_2916066_rev_at	/start=2913023 /end=2916066 /direction=+ /description=intergenic region	186.9	161.9	156.5	180.5	129.9	104.3	114.9	88.5
ugpB_b3453_at	ugpB	887.4	710.3	776.7	823.5	530.2	465.9	584.6	357
leuA_b0074_at	leuA	759.5	735.5	472.1	646.7	548	295.3	371.7	294.3
rpoE_b2573_at	rpoE	8216.8	6171.1	3842.2	4147.7	3504.5	3386.2	2839.1	3524.6
btuE_b1710_at	btuE	2675.7	1798.9	1058.4	882.8	776.7	675.1	879.4	854.8
IG_1505_2419289_2419344_fwd_at	/start=2419289 /end=2419344 /direction=+ /description=intergenic region	359.5	253.7	221.2	153.3	163.8	141.6	120.5	143.3
IG_1590_2537604_2537736_rev_at	/start=2537604 /end=2537736 /direction=+ /description=intergenic region	769.3	474.9	312.1	214.2	236.4	244.1	177	194.1
pstS_b3728_at	pstS	984.6	538.3	nan	400.8	420	366.6	300.8	398.2
yhcN_b3238_at	yhcN	621.1	589.3	nan	446.5	347.5	285.8	223.7	310.4
IG_41_63265_63428_rev_at	/start=63265 /end=63428 /direction=+ /description=intergenic region	2576.1	2406.9	2080.7	1417.2	992.5	759.2	687.3	906.6
yhbO_b3153_at	yhbO	1984.5	1595.7	1518.6	882.6	624.8	585.1	593.9	668.6
cysK_b2414_at	cysK	5028.4	3722.2	2005.5	2127.9	1613.2	1657.7	1556.5	1107.2
yjgB_b4269_at	yjgB	1288.1	1167.7	880.5	829.1	700.4	703.6	665.9	477.1
yncB_b1449_at	yncB	3516.1	1899.2	1476.4	1313.7	1347.2	936.9	1095	856.8
b2638_at	yfjU	671.9	640.6	471.9	602.2	449.8	385.9	426.3	347.5
IG_2475_4012905_4014017_fwd_at	/start=4012905 /end=4014017 /direction=+ /description=intergenic region	1120.1	1240.9	807.4	470.9	591.7	503.3	484.6	496.8
yghA_b3003_at	yghA	2991.5	3373.9	2375.4	1555.6	1791.6	1446.9	1568.9	1459.4
msyB_b1051_at	msyB	16463.3	21811.9	16751.9	11934.7	13223.9	9381.6	12123.9	11395
IG_2106_3378225_3378377_fwd_at	/start=3378225 /end=3378377 /direction=+ /description=intergenic region	238.3	270	247.2	195.7	162.7	185.4	156	169
rnc_b2567_at	rnc	977.5	1051	1065.4	802.6	698	785.7	596.3	701.1
ymfC_b1135_at	ymfC	831	980.5	779	593	486.8	526.5	383.8	518.6
b1428_at	ydcK	1210.1	903	1029.9	816.2	759.7	656.8	745.9	705.9
IG_647_1027583_1029286_fwd_at	c1106	1232.1	828.9	966	531.2	532	526.3	568.2	409.4
chaB_b1217_at	chaB	1303.2	1230.5	1466	1049.3	982.1	808.8	856.2	750.5
hcaC_b2540_at	hcaC	628.3	480.8	986.8	520	407.8	394.6	477.5	443.6
yagF_b0269_at	yagF	nan	329.5	633.3	310.8	304.3	226.4	287.5	235.3
hisQ_b2308_at	hisQ	270.5	281.2	448.4	248.2	214.6	217.4	186.6	197.5
IG_612_962892_963050_fwd_at	/start=962892 /end=963050 /direction=+ /description=intergenic region	2320.4	2312.1	3046.4	2284.5	1645.8	1722.5	1618.2	1695.1
lacI_b0345_at	lacI	nan	500.3	nan	296.7	nan	nan	266.4	244.6
yhgG_b3410_at	yhgG	nan	nan	nan	nan	840.3	1118.4	nan	298.6
yoaF_b1793_at	yoaF	402.5	750.6	824.5	569.5	470.5	500	409	388.6
lldR_b3604_at	lldR	540.2	nan	921.1	577.3	nan	nan	nan	nan
ptxA_b4195_at	ptxA	nan	390	nan	401.1	295.5	403	285.3	232.4
yjhH_b4298_at	yjhH	nan	nan	nan	412.6	nan	345.9	493.4	279.3
IG_2393_3884352_3884456_fwd_at	/start=3884352 /end=3884456 /direction=+ /description=intergenic region	648.4	926.6	557	513.4	600.2	550	682.6	410
IG_2480_4021927_4022577_fwd_at	/start=4021927 /end=4022577 /direction=+ /description=intergenic region	367.7	591.1	411.8	382.8	353.8	364.7	356.1	290.2
sgcA_b4302_at	sgcA	441.7	806.8	547.2	555.5	483.3	525.4	563.6	357.7
rffH_b3789_at	rffH	603.7	828.7	729.2	782.3	588	587.7	636.3	494.4
fhuA_b0150_at	fhuA	689.1	678.4	524.5	403.7	782.5	652	179.8	224.4
IG_636_1015106_1017707_fwd_at	/start=1015106 /end=1017707 /direction=+ /description=intergenic region	715.9	870.1	731.6	661.5	761.5	948.8	331	381
IG_96_169728_169777_fwd_at	/start=169728 /end=169777 /direction=+ /description=intergenic region	750	605.2	618.7	531.4	1041.2	1078.1	136.3	224
IG_2752_4446620_4447538_fwd_at	/start=4446620 /end=4447538 /direction=+ /description=intergenic region	126.4	122.6	145.5	112.4	148.4	156	69.1	73.9
rnt_b1652_at	rnt	577.7	551.3	nan	583.4	584.5	600.4	374.5	403.8
entB_b0595_at	entB	946.4	909.2	622.2	605.1	977.4	1145.2	354.9	245.7
IG_2246_3636772_3637740_fwd_f_at	/start=3636772 /end=3637740 /direction=+ /description=intergenic region	376.1	415.7	391.4	369	420.9	487.5	250.7	227.6
ydbK_b1378_at	ydbK	566.1	594.7	536.5	619.8	634.2	679.7	358	309.9
exbB_b3006_at	exbB	2171.6	1796.2	1905.7	1716.5	1851.4	2413.4	nan	585.3
trkH_b3849_at	trkH	678.7	597.2	nan	573.2	581.3	622.7	358.6	288.3
IG_405_628937_629116_fwd_at	/start=628937 /end=629116 /direction=+ /description=intergenic region	208.3	155.1	157.1	117.6	121.8	185.8	58.9	54.9
IG_2363_3833944_3834579_fwd_at	/start=3833944 /end=3834579 /direction=+ /description=intergenic region	nan	67.6	58.1	65.5	nan	69.6	nan	nan
yliI_b0837_at	yliI	1149.6	nan	nan	nan	999.5	1055	713.7	728.1
b1686_at	ydiI	nan	nan	nan	307.2	395.8	408.3	232.6	nan
IG_1131_1787506_1787636_fwd_at	/start=1787506 /end=1787636 /direction=+ /description=intergenic region	nan	nan	nan	218.7	nan	nan	nan	140
fhuC_b0151_at	fhuC	510.5	508.1	511.7	567.9	589.3	520.5	368.8	329.1
yecS_b1918_at	yecS	487.4	505.7	373.6	452	518.3	433.8	285.9	302.2
b2304_at	yfcH	702.9	890.8	752.1	785.2	791.6	744.1	493.2	501.3
IG_1321_2052982_2053082_fwd_at	amn	290.4	446.7	258.1	373.1	354.9	365.5	173.1	177.9
entC_b0593_at	entC	1006.6	958.8	714.8	495.6	602.9	899.4	243.1	nan
pyrG_b2780_at	pyrG	11953.3	11676.2	9434.4	6848.8	9052.8	9541.6	3931.5	3684.7
IG_2155_3463858_3475276_fwd_at	c4115	240.4	227.1	216.7	159.6	186	203.4	107.7	124.1
IG_2532_4108266_4109894_fwd_at	/start=4108266 /end=4109894 /direction=+ /description=intergenic region	182.6	173.5	147.2	136.8	nan	nan	68.5	91
ycjF_b1322_at	ycjF	nan	nan	nan	231	316.4	299.8	nan	nan
dacB_b3182_at	dacB	317.4	nan	272.2	300.5	258.4	273.2	145.1	182.1
IG_1430_2265732_2265848_fwd_at	/start=2265732 /end=2265848 /direction=+ /description=intergenic region	nan	184.9	nan	121.2	nan	nan	nan	nan
IG_1641_2638596_2638705_rev_at	/start=2638596 /end=2638705 /direction=+ /description=intergenic region	2870.5	2301.6	2197.3	1815.9	1977.3	2167.5	985.8	1490.3
rnpB_b3123_at	rnpB	31400.1	37409.9	40393.6	25896.4	30683.5	30446.8	12418.5	12856.4
IG_1428_2263065_2263214_fwd_at	/start=2263065 /end=2263214 /direction=+ /description=intergenic region	277.6	328.1	316.1	231.6	nan	300.3	159.5	156.3
IG_2867_4611830_4614891_fwd_f_at	/start=4611830 /end=4614891 /direction=+ /description=intergenic region	5788.5	5918.6	3239	2415.1	3266.8	3417	1232.1	1402.7
sapA_b1294_at	sapA	1274	1126	965.1	850	785.2	833.6	489.8	447.8
ackA_b2296_at	ackA	3882.2	3226.1	3516.2	2878	3503.2	2855.4	2070.6	1763.3
ygaF_b2660_at	ygaF	8406.4	6999.7	6450.7	4723.5	7277.5	4934.1	3879.1	2106.5
b0965_at	Z1317	1256.8	1067.1	1037	898.5	1054.7	828	600	589.8
IG_994_1592090_1592132_rev_at	ydeK	4111.1	4502.9	3936	3212.8	3799	3352.8	2180.9	1874.8
yqjH_b3070_at	yqjH	551	446.6	399.3	346.8	399.1	339.3	171.7	137.4
fic_b3361_at	fic	3387.1	2361.3	2161.9	1822.3	2112.4	2009.1	1184.8	984.9
gcpE_b2515_at	ispG	1742.6	1316.6	1433.8	1176.1	1356	1335.3	651.5	683.8
ynhD_b1682_at	sufC	2610.3	2059.8	2086.2	1217.6	2586.8	1936.5	1165.6	1203
yfgA_b2516_at	yfgA	2906.8	2390.7	2541	1722	2815.7	2522.1	1495.2	1436.2
IG_2584_4182852_4182927_fwd_at	/start=4182852 /end=4182927 /direction=+ /description=intergenic region	5937.7	4752.2	4320.1	2496.7	5458	5210.4	2736.2	2614.7
ynhE_b1683_at	ynhE	5096.2	3498.5	3562.9	2543.2	4421.5	4174.2	1877.3	2216.2
ynhC_b1681_at	ynhC	2570.1	2338	2387.5	1588.8	2684.3	2709	1189.8	1204
IG_2196_3537345_3537798_fwd_at	/start=3537345 /end=3537798 /direction=+ /description=intergenic region	134.2	134.6	135	99.1	132.8	133	81.1	81.5
IG_45_71266_71350_fwd_at	/start=71266 /end=71350 /direction=+ /description=intergenic region	1025.5	1069.7	1108.3	776.8	994.3	1092	676.1	696.6
tonB_b1252_at	tonB	857.1	1014.7	980.6	649.2	906.5	987.4	nan	556.6
IG_1204_1889292_1889348_rev_at	/start=1889292 /end=1889348 /direction=+ /description=intergenic region	154.3	163.7	139.7	117.2	204.1	151.7	nan	102
ybhF_b0794_at	ybhF	414.6	458.1	nan	322.6	477	432.8	320	277.6
epd_b2927_at	epd	1060.2	1218.7	1089.3	878.9	1183.9	1181.1	747.4	824.6
IG_1807_2904606_2913078_fwd_at	/start=2904606 /end=2913078 /direction=+ /description=intergenic region	240.2	256.6	320.8	243.5	230	269	183.3	180
thrC_b0004_at	thrC	626.6	636.3	nan	624.5	621.2	663.8	491.1	439.1
IG_1209_1894773_1894955_fwd_at	/start=1894773 /end=1894955 /direction=+ /description=intergenic region	1482.8	1551.2	1975.1	1023	1331.2	1416.5	868.8	699.6
poxB_b0871_at	poxB	6918.7	5432.1	3261	2277.1	5752.1	4553.6	2014.4	1762
speA_b2938_at	speA	1053.1	784.5	486.3	443.2	746.7	711.1	367	301.2
IG_1182_1866867_1866978_fwd_at	/start=1866867 /end=1866978 /direction=+ /description=intergenic region	9088.1	7500.8	6076.1	4767.3	6624.5	6917.5	4162.5	3170.5
yeaG_b1783_at	yeaG	9552.3	7550.3	6046.3	4661.1	7537.2	6850.5	3607.3	3257.1
yhbN_b3200_at	yhbN	2475.5	1933.4	1644.8	1396.2	1793.7	1783.4	1120.3	1253.8
IG_1145_1805715_1805819_fwd_at	/start=1805715 /end=1805819 /direction=+ /description=intergenic region	8147.3	5890.8	3959.8	2614.7	5817	4241.3	2746.3	2828.6
IG_2870_4617121_4617171_fwd_at	/start=4617121 /end=4617171 /direction=+ /description=intergenic region	7910.9	7503.5	4096.8	2754.6	5453.1	4181.8	3270.5	2913.8
deoA_b4382_at	deoA	4078.1	3492.2	2261.7	1614.1	2877.6	2441	1561.1	1313.6
deoB_b4383_at	deoB	7455.3	7059.7	4223	3591.2	5363.3	4659	3395.8	2741.1
IG_2869_4615672_4615797_fwd_at	/start=4615672 /end=4615797 /direction=+ /description=intergenic region	1164.1	1248.8	570	421	841.1	830.3	407.4	363.5
yhjD_b3522_at	yhjD	1080.8	862.4	802.9	773.4	980.3	1001.8	664.8	594.4
menG_b3929_at	menG	2333.8	1757.9	1727.9	1606.9	2430.8	1975.4	1356.5	1077.2
guaB_b2508_at	guaB	1445.2	1341	978.5	892.8	1555.3	1166.6	756.1	665.8
ybjZ_b0879_at	macB	917.2	855.7	655.8	674.4	857.9	742	541.3	515.6
hepA_b0059_at	hepA	1514.3	1310.9	930.7	1030.2	1492.2	1180.3	713	739.1
IG_2590_4195255_4195293_fwd_at	/start=4195255 /end=4195293 /direction=+ /description=intergenic region	2646.6	2091.3	1451.5	1355.9	2181.8	1810.1	1495.2	956.1
IG_1675_2707425_2707456_rev_at	/start=2707425 /end=2707456 /direction=+ /description=intergenic region	13732.9	10814.6	11151.2	9131.5	9808.1	9256	8260.4	6647.9
ybhP_b0790_at	ybhP	1730	1326.9	1063.6	719.4	1066.2	842.2	724.3	530.6
b2511_at	engA	990.1	764.2	736.5	566.7	773.5	565.9	481.1	454.1
IG_1913_3081817_3081953_rev_at	/start=3081817 /end=3081953 /direction=+ /description=intergenic region	1838.3	1779.1	1258.6	692	1336.4	896.4	853.9	666.6
IG_1402_2222900_2223063_rev_at	/start=2222900 /end=2223063 /direction=+ /description=intergenic region	564.9	558.3	389.3	292.5	384.8	546	170	263.5
IG_2706_4382920_4382970_fwd_at	/start=4382920 /end=4382970 /direction=+ /description=intergenic region	990.3	1853.4	727.7	479	859	1140.5	259.1	412.1
